Ref,Val,Package,PosX,PosY,Rot,Side
C1,4u7,C_0402_1005Metric,-100.130283,-69.828095,90,bottom
C2,1u,C_0402_1005Metric,-97.765466,-68.908095,180,bottom
C3,1u,C_0402_1005Metric,-99.422965,-64.107335,0,bottom
C4,10u,CP_EIA-3216-10_Kemet-A,-67.029431,-14.330576,-62,bottom
C5,100n,C_0402_1005Metric,-20.403722,-64.933329,-166,bottom
C6,100n,C_0402_1005Metric,-29.041657,-74.558959,14,bottom
C7,4u7,C_0402_1005Metric,-32.997403,-66.877772,104,bottom
C8,100n,C_0402_1005Metric,-31.833046,-66.58747,104,bottom
C9,100n,C_0402_1005Metric,-25.039415,-62.420153,104,bottom
C10,100n,C_0402_1005Metric,-23.875061,-62.129843,104,bottom
C11,1u,C_0402_1005Metric,-26.793772,-75.224924,-166,bottom
C12,10n,C_0402_1005Metric,-27.084079,-74.060569,-166,bottom
C13,1u,C_0402_1005Metric,-24.853181,-74.741084,14,bottom
C14,100n,C_0402_1005Metric,-25.143487,-73.576723,14,bottom
C16,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-14.048209,-64.186097,14,bottom
C17,100n,C_0402_1005Metric,-14.212073,-56.760151,-76,bottom
C18,100n,C_0402_1005Metric,-15.248923,-72.11201,14,bottom
C19,4u7,C_0402_1005Metric,100.035859,-70.280795,90,bottom
C20,1u,C_0402_1005Metric,97.435858,-68.680792,0,bottom
C21,1u,C_0402_1005Metric,99.418282,-68.680791,180,bottom
C22,10u,CP_EIA-3216-10_Kemet-I,67.029433,-14.330577,-118,bottom
C23,100n,C_0402_1005Metric,24.751132,-59.516596,-14,bottom
C24,100n,C_0402_1005Metric,25.600655,-64.376473,-104,bottom
C25,4u7,C_0402_1005Metric,35.884224,-64.466981,-104,bottom
C26,100n,C_0402_1005Metric,34.71987,-64.176675,-104,bottom
C27,100n,C_0402_1005Metric,26.76501,-64.666778,-104,bottom
C28,100n,C_0402_1005Metric,35.997605,-55.827788,166,bottom
C29,1u,C_0402_1005Metric,34.325496,-54.184456,-14,bottom
C30,10n,C_0402_1005Metric,34.035187,-55.348811,-14,bottom
C31,1u,C_0402_1005Metric,32.384901,-53.700613,166,bottom
C32,100n,C_0402_1005Metric,32.094593,-54.864971,166,bottom
C34,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,17.842981,-61.233873,166,bottom
C35,100n,C_0402_1005Metric,14.501397,-67.867522,76,bottom
C36,100n,C_0402_1005Metric,22.624142,-54.799411,166,bottom
D1,DS14W,D_SOD-123F,-98.54055,-72.471964,180,bottom
D2,DS14W,D_SOD-123F,-62.925659,-12.516647,28,bottom
D3,1N4148WT,D_SOD-523,-16.629771,-76.525169,14,bottom
D4,1N4148WT,D_SOD-523,-16.239783,-78.089337,14,bottom
D5,SMF3.3,D_SOD-123F,-14.400437,-79.679544,14,bottom
D6,1N4148WT,D_SOD-523,-13.912943,-75.84779,14,bottom
D7,1N4148WT,D_SOD-523,-13.522951,-77.411963,14,bottom
D8,DS14W,D_SOD-123F,98.535857,-72.480794,0,bottom
D9,DS14W,D_SOD-123F,62.925662,-12.516648,152,bottom
D10,1N4148WT,D_SOD-523,17.899528,-51.341201,166,bottom
D11,1N4148WT,D_SOD-523,17.512453,-52.893674,166,bottom
D12,SMF3.3,D_SOD-123F,17.12199,-49.086112,166,bottom
D13,1N4148WT,D_SOD-523,15.279732,-50.688012,166,bottom
D14,1N4148WT,D_SOD-523,14.892656,-52.240485,166,bottom
F1,BSMD0603-050-6V,Fuse_0603_1608Metric,-97.878988,-70.289117,180,bottom
F2,BSMD0603-050-6V,Fuse_0603_1608Metric,97.874298,-70.316924,0,bottom
J1,HTP-CON-M411P-F,CON_HytePro_M411P_Plug_1x04-P2.20mm_Horizontal_FlushMount,-76.280908,-9.413184,-152,bottom
J2,TYPE-C-31-M-14,USB_C_Receptacle_HRO_TYPE-C-31-M-14,-93.042475,-86.08357,118,bottom
J4,HTP-CON-M411P-M,CON_HytePro_M411P_Receptacle_1x04-P2.20mm_Horizontal_FlushMount,74.825083,-12.151201,152,bottom
J5,TYPE-C-31-M-14,USB_C_Receptacle_HRO_TYPE-C-31-M-14,93.037783,-86.092399,-118,bottom
L1,BLM15PX121SN1D ,L_0402_1005Metric,-93.165665,-81.165763,28,bottom
L2,BLM15PX121SN1D ,L_0402_1005Metric,93.160975,-81.174592,152,bottom
Q1,AO3400A,SOT-23,-61.014983,-15.124947,118,bottom
Q2,AO3400A,SOT-23,61.014989,-15.124948,-118,bottom
R1,100R,R_0402_1005Metric,-77.204811,-13.426725,118,bottom
R2,100R,R_0402_1005Metric,-78.264349,-13.99009,118,bottom
R3,4R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-67.434302,-8.883,118,bottom
R4,100R,R_0402_1005Metric,-63.568374,-17.218778,28,bottom
R5,10k,R_0402_1005Metric,-64.131737,-16.159242,-152,bottom
R6,10k,R_0402_1005Metric,-20.65043,-63.861166,-166,bottom
R7,10k,R_0402_1005Metric,-27.510339,-61.603667,104,bottom
R8,100R,R_0402_1005Metric,-21.286427,-76.232507,-76,bottom
R9,100R,R_0402_1005Metric,-22.45078,-76.52281,-76,bottom
R10,100R,R_0402_1005Metric,-32.458326,-62.012848,104,bottom
R11,100R,R_0402_1005Metric,-31.293969,-61.72254,104,bottom
R12,100R,R_0402_1005Metric,-30.129616,-61.432236,104,bottom
R13,10k,R_0402_1005Metric,-26.443012,-61.337554,104,bottom
R14,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-17.971476,-69.37691,104,bottom
R16,1k,R_0402_1005Metric,-12.600017,-71.451562,14,bottom
R17,100k,R_0402_1005Metric,-18.728188,-54.044538,104,bottom
R18,100k,R_0402_1005Metric,-16.98166,-53.609079,104,bottom
R19,100k,R_0402_1005Metric,-15.235124,-53.173615,104,bottom
R20,100k,R_0402_1005Metric,-20.474724,-54.479993,104,bottom
R21,4k7,R_0402_1005Metric,-30.848489,-73.444542,104,bottom
R22,4k7,R_0402_1005Metric,-28.731944,-75.718471,14,bottom
R23,100R,R_0402_1005Metric,75.753679,-16.155912,62,bottom
R24,100R,R_0402_1005Metric,76.813217,-16.719277,62,bottom
R25,4R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.434307,-8.883001,62,bottom
R26,100R,R_0402_1005Metric,63.568377,-17.21878,152,bottom
R27,10k,R_0402_1005Metric,64.131743,-16.159237,-28,bottom
R28,10k,R_0402_1005Metric,24.463245,-60.671248,-14,bottom
R29,10k,R_0402_1005Metric,28.56339,-66.547718,-104,bottom
R30,100R,R_0402_1005Metric,29.935823,-50.709271,76,bottom
R31,100R,R_0402_1005Metric,31.100179,-50.999579,76,bottom
R32,100R,R_0402_1005Metric,33.124301,-68.509373,-104,bottom
R33,100R,R_0402_1005Metric,31.959945,-68.219065,-104,bottom
R34,100R,R_0402_1005Metric,30.795592,-67.928758,-104,bottom
R35,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.885,-55.466164,-104,bottom
R37,1k,R_0402_1005Metric,19.975236,-54.138963,166,bottom
R38,10k,R_0402_1005Metric,27.496063,-66.281606,-104,bottom
R39,100k,R_0402_1005Metric,17.213987,-72.385451,-104,bottom
R40,100k,R_0402_1005Metric,15.467457,-71.949992,-104,bottom
R41,100k,R_0402_1005Metric,13.720918,-71.514535,-104,bottom
R42,100k,R_0402_1005Metric,18.960517,-72.820912,-104,bottom
R43,4k7,R_0402_1005Metric,37.090166,-57.646115,-104,bottom
R44,4k7,R_0402_1005Metric,36.268506,-54.658594,166,bottom
SW1,SKQGAKE010,SW_SPST_SKQG_WithStem,-26.32121,-56.659122,-166,bottom
SW2,SKQGAKE010,SW_SPST_SKQG_WithStem,25.192126,-70.355232,-14,bottom
U1,XC6206PxxxMR,SOT-23-3,-98.422963,-66.507337,0,bottom
U2,SRV05-4,SOT-23-6-routable,-88.055257,-83.9981,118,bottom
U3,STM32G431CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,-26.471638,-68.249802,-166,bottom
U4,OPA340NA,SOT-23-5,-14.709149,-69.027296,-76,bottom
U5,74HC4051,TSSOP-16_4.4x5mm_P0.65mm,-17.007473,-59.912565,104,bottom
U6,XC6206P332MR,SOT-23-3,98.418279,-66.280795,180,bottom
U7,SRV05-4,SOT-23-6-routable,88.050566,-84.006928,62,bottom
